X	Y	Lipid0	Lipid1	Lipid2	Lipid3	Lipid4	Lipid5	Lipid6	Lipid7	Lipid8	Lipid9	Lipid10
0	0	0.02269895418231797	0.0023846980781321715	0.0054186138300702825	-0.0	-0.0	0.004042568736114532	-0.0	-0.0	-0.0	-0.0	0.0033761053444572057
0	1	0.0274344691180242	0.0018206255848519316	0.00558383513170505	-0.0	-0.0	0.006347567974060516	0.0019596547272801375	-0.0	-0.0	-0.0	0.0048878443219197345
0	2	0.021148753740410784	0.002833221550177806	0.004717897612093691	-0.0	-0.0	0.0060118916870932956	0.0017025821864238649	-0.0	-0.0	0.0021948645445286955	0.0030395467157963304
0	3	0.0242732487632328	0.002474672276251732	0.005401793645840452	-0.0	-0.0	0.00290634528178461	0.0016025725280033587	0.0010427117067401002	0.0012205066435943678	-0.0	0.002669130238157684
0	4	0.023960646789894492	0.003500477122294753	0.005187118794388127	-0.0	-0.0	0.006334302603321242	0.002163554288316887	-0.0	0.0014447423673679119	0.001161806926049867	0.0016896532547878516
0	5	0.023212132402731428	0.0038599661146589614	0.0054480297803161555	-0.0	-0.0	0.005833288957603185	0.0016513775479942317	-0.0	-0.0	-0.0	0.002750810208053224
0	6	0.025085532915432973	0.004219008202899897	0.005984515265542105	-0.0	-0.0	0.00366076617700282	0.0016615147642241531	-0.0	-0.0	-0.0	0.001972091351029572
0	7	0.022338562357185853	0.004193827180072738	0.005498098943775799	-0.0	-0.0	0.006763905748289415	0.0028476126059974014	-0.0	-0.0	0.0031510846294985897	-0.0
0	8	0.021159469542560472	0.0024603335463060177	0.006121394660655226	-0.0	-0.0	0.005605933964672754	0.0013331699899586952	-0.0	0.00046712535378068095	0.0017722796775508102	0.002515478549225951
0	9	0.021237149086322103	0.00454710274400117	0.007831259548362493	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0027808815950808065
0	10	0.020044380151136878	0.004654642376027831	0.006771961483547417	-0.0	-0.0	0.0025074866611204095	-0.0	-0.0	0.001301733205138938	0.0018601725259616328	-0.0
0	11	0.01914601124648604	0.0013439173959215588	0.007712525808443352	-0.0	-0.0	0.007434678548943997	0.001602386623106289	-0.0	-0.0	0.00206024061168399	0.003290990873727303
0	12	0.021041777459768252	0.002050461086517741	0.009174022440021702	-0.0	-0.0	0.005097665626734696	-0.0	-0.0	-0.0	-0.0	0.00258697145617713
0	13	0.018213598105686294	0.0016066125778040365	0.008628912171055755	-0.0	-0.0	0.0029663482647177843	0.002032231813279161	-0.0	0.0009812810725900749	0.0012240936476720695	0.0014105885826513078
0	14	0.013242714241441637	0.005934344219196504	0.008999942664470314	-0.0	-0.0	0.0020264335618132606	-0.0	-0.0	0.0	-0.0	0.0020799007369059937
0	15	0.00975822376479075	0.0045473083908846865	0.009747078615962433	0.0007719562443639499	-0.0	0.0034709087415937556	-0.0	0.0014402699605890667	-0.0	0.0008035630544874706	-0.0
0	16	0.014475780764529277	0.004412516924291301	0.006304982080212812	-0.0	-0.0	0.0062906283240916384	0.0017930646832371843	0.0010996737924188933	-0.0	0.002331241442236415	0.0029599618120530642
0	17	0.0045329387587955666	0.0011940730435769705	0.002945326466038137	0.004323568756414544	-0.0	0.010771616906897513	-0.0	0.0010037801164381839	-0.0	0.002887164928043448	-0.0
0	18	0.0007327856654363353	-0.0	-0.0	0.0007627340523669876	-0.0	0.0030873697944345012	-0.0	-0.0	-0.0	0.0005624430945235262	0.0
0	19	0.0004217413441988688	-0.0	0.0011156742167666037	-0.0	-0.0	0.0006579744144262797	-0.0	-0.0	0.0	0.0	-0.0
0	20	0.013641126428864982	0.0	0.003828914878781343	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010359895528769375
1	0	0.021628234480983777	-0.0	0.006633868530618249	-0.0	-0.0	0.006534231638971364	-0.0	0.0015741688797408246	-0.0	-0.0	-0.0
