"","V1","V2","V3","V4","V5","V6","V7","V8"
"168",1,1,1,1,2,1,1,1
"169",2,1,2,2,2,2,3,1
"170",2,2,2,2,2,1,3,1
"171",2,2,2,2,2,2,3,1
"172",2,2,2,2,2,1,2,1
"173",2,2,2,2,2,1,2,1
"174",2,2,2,2,2,1,2,1
"175",2,2,2,2,2,1,2,1
"176",2,2,2,2,2,1,1,1
"177",2,2,2,1,2,1,1,1
"178",1,1,1,1,2,1,1,1
"179",1,1,1,1,1,1,1,1
"180",1,1,1,1,1,1,1,1
"181",1,1,1,1,1,1,1,1
"182",1,1,1,1,1,1,1,1
"183",1,1,1,1,1,1,1,1
"184",1,1,1,1,1,1,1,1
"185",1,1,1,1,1,1,1,1
"186",1,1,1,1,2,1,1,1
"187",1,1,2,1,1,1,1,1
"188",1,1,1,1,1,1,1,1
"189",1,1,1,1,1,1,1,1
"190",2,1,2,2,2,1,3,1
"191",2,1,2,2,2,1,3,1
"192",2,2,2,2,2,1,3,1
"193",2,2,2,1,2,1,1,1
"194",2,2,2,1,2,1,1,1
"195",2,2,2,1,2,1,2,1
"196",2,1,2,1,2,1,1,1
"197",1,1,2,1,2,1,1,1
"198",1,1,2,1,2,1,1,1
"199",1,1,1,1,1,1,1,1
"200",1,1,1,1,1,1,1,1
"201",1,1,1,1,1,1,1,1
"202",1,1,1,1,1,1,1,1
"203",1,1,1,1,1,1,1,1
"204",1,1,2,1,1,1,1,1
"205",2,1,2,1,1,1,1,1
"206",2,1,2,1,2,1,1,3
"207",2,2,2,1,1,1,1,2
"208",2,2,2,1,1,1,1,1
"209",3,3,2,1,1,1,1,2
"210",1,1,1,1,1,1,1,2
"211",1,1,1,1,1,1,1,1
"212",2,1,2,1,2,1,1,1
"213",2,1,2,1,2,1,1,1
"214",1,2,2,1,2,1,1,1
"215",1,1,1,1,1,1,1,1
"216",1,1,1,1,1,1,1,1
"217",1,1,1,1,1,1,1,1
"218",1,1,1,1,2,1,1,1
"219",1,1,1,1,1,1,1,1
"220",1,1,1,1,1,1,1,1
"221",1,1,1,1,1,1,1,1
"222",1,1,1,1,1,1,1,1
"223",1,1,1,1,1,1,1,1
"224",2,1,2,1,1,1,1,3
"225",2,2,2,1,1,1,1,3
"226",2,1,2,1,1,1,1,1
"227",3,2,2,1,1,1,1,3
"228",3,2,2,1,1,1,1,3
"229",3,3,3,1,1,1,1,2
"230",3,3,3,1,1,1,1,2
"231",4,1,3,1,1,1,1,2
"232",1,1,1,1,1,1,1,1
"233",1,1,1,1,1,1,1,1
"234",1,1,1,1,1,1,1,1
"235",1,2,2,1,2,1,1,1
"236",1,1,1,1,1,1,1,1
"237",1,1,1,1,1,1,1,1
"238",1,1,1,1,2,1,1,1
"239",1,1,1,1,1,1,1,1
"240",1,1,1,1,1,1,1,1
"241",1,1,1,1,1,1,1,1
"242",1,1,1,1,1,1,1,1
"243",2,1,2,1,1,1,1,3
"244",2,2,2,1,1,1,1,3
"245",2,2,2,1,1,1,2,3
"246",2,2,2,1,1,1,1,3
"247",3,2,2,1,1,1,1,3
"248",3,2,2,1,1,1,1,3
"249",3,2,3,1,1,1,1,2
"250",3,3,3,1,1,1,1,2
"251",3,3,3,1,2,1,1,2
"252",4,1,3,1,1,1,1,2
"253",1,1,1,1,1,1,1,1
"254",1,1,1,1,1,1,1,1
"255",1,1,1,1,1,1,1,1
"256",1,1,1,1,1,1,1,1
"257",1,1,1,1,1,1,1,1
"258",1,1,1,1,1,1,1,1
"259",1,1,1,1,1,1,1,1
"260",1,1,1,1,1,1,1,1
"261",1,1,1,1,1,1,1,1
"262",2,2,2,1,1,1,1,3
"263",2,2,2,1,1,1,1,3
"264",2,2,2,1,1,1,1,3
"265",2,2,2,1,1,1,2,3
"266",3,2,2,1,1,1,2,3
"267",3,2,2,1,1,1,2,3
"268",3,2,2,1,1,1,1,3
"269",3,3,3,1,1,1,1,2
"270",3,3,3,1,1,1,1,2
"271",4,3,3,1,2,1,1,2
"272",4,3,3,1,2,1,1,2
"273",4,3,3,1,2,1,1,2
"274",1,1,1,1,1,1,1,1
"275",1,1,1,1,1,1,1,1
"276",1,1,1,1,1,1,1,1
"277",1,1,1,1,1,1,1,1
"278",1,1,1,1,1,1,1,1
"279",1,1,1,1,1,1,1,1
"280",1,1,1,1,1,1,1,1
