Formula	Mass	Initial estimation	Number of pixels	Assigned
C40H77N2O7P	767.51054632619	0.0	0	False
C46H91N2O6P	837.62518215777	0.0	0	False
C46H86NO8P	850.57281223262	0.0	0	False
C40H71O13P	829.42693584537	0.0	0	False
C45H71O8P	809.45236274437	0.0	0	False
C46H87O9P	853.57247788089	0.0	0	False
C43H84NO9P	828.55207678828	0.0	0	False
C44H81NO8	790.55992507267	0.0	0	False
C45H79O7P	801.5200483823301	0.0	0	False
C42H73O9P	791.46292742911	0.0	0	False
C40H75O7P	737.4887482532499	0.0	0	False
C32H60NO11P	704.3541052542	3.8744359269720985e-07	4	True
C54H107NO5	888.77863205109	0.0	0	False
C36H65O15P	807.3698148921501	0.0	0	False
C47H91NO3	756.66360229437	0.0	0	False
C40H76NO8P	768.49456190992	7.457205076320262e-07	4	True
C43H85NO10	814.5810544421499	0.0	0	False
C41H80NO10P	816.5156912794	0.0	0	False
C44H84NO6P	792.56733292768	2.042374698387802e-05	88	True
C32H56NO12P	716.31771974532	1.0294438003220843e-07	1	True
C44H83O13P	889.52083623261	0.0	0	False
C44H87O10P	845.56739250109	0.0	0	False
C46H75O9P	841.4785774936499	0.0	0	False
C48H73O10P	879.45784204931	0.0	0	False
C36H63O13P	773.36433558721	0.0	0	False
C37H70NO10P	758.4374409567	0.0	0	False
C46H85NO9	834.5861398219499	0.0	0	False
C42H80NO9P	812.5207766592	0.0	0	False
C43H74NO10P	834.46874108578	0.0	0	False
C42H76NO9P	808.48947653012	0.0	0	False
C43H68NO8P	796.43196165176	0.0	0	False
C36H64NO10P	740.39049076308	0.0	0	False
C36H62NO10P	738.3748406985401	0.0	0	False
C34H67O10P	705.41089185569	0.0	0	False
C50H100NO7P	896.6874480642	0.0	0	False
C34H63O14P	765.35925020741	0.0	0	False
C41H77O12P	831.47897141879	0.0	0	False
C40H78NO8P	770.5102119744599	0.0006314661292651789	1836	True
C47H82NO8P	858.5415121035401	0.0	0	False
C46H88NO7P	836.59354767696	0.0	0	False
C44H78NO8P	818.5102119744599	0.0	0	False
C46H88NO9P	868.58337691736	0.0	0	False
C39H69O16P	863.39602964143	0.0	0	False
C38H79N2O6P	729.53128177053	0.0	0	False
C42H72NO10P	820.45309102124	0.0	0	False
C33H57O15P	763.30721463399	2.2147525165780396e-07	1	True
C47H82NO10P	890.5313413439401	0.0	0	False
C42H79O10P	813.5047922429301	0.0	0	False
C49H90NO8P	890.6041123617	0.0	0	False
C42H67O10P	801.41089185569	0.0	0	False
C43H79O8P	793.5149630025301	1.7505385871903165e-07	1	True
C30H55O15P	725.29156456945	7.719365938335232e-08	1	True
C41H70NO10P	806.4374409567	0.0	0	False
C50H80NO8P	892.525862039	0.0	0	False
C38H77N2O7P	743.51054632619	1.8286299377652388e-07	1	True
C48H95NO4	788.68981704365	0.0	0	False
C43H77O14P	887.46880065919	0.0	0	False
C44H85NO4	730.61156672095	0.0	0	False
C45H90NO9P	858.5990269819	0.0	0	False
C46H76NO8P	840.49456190992	0.0	0	False
C48H89O9P	879.58812794543	0.0	0	False
C45H81O10P	851.52044230747	0.0	0	False
C32H54NO12P	714.30206968078	0.0	0	False
C45H83O7P	805.55134851141	4.243152127983172e-07	3	True
C44H89NO2	702.65303760963	0.0	0	False
C43H85NO5	734.60648134115	0.0	0	False
C48H95N2O6P	865.65648228685	0.0	0	False
C42H86NO7P	786.57789761242	-1.0718097563247293e-19	1	False
C39H69O15P	847.40111502123	0.0	0	False
C42H71O10P	805.44219198477	0.0	0	False
C40H77O12P	819.47897141879	0.0	0	False
C40H76NO7P	752.49964728972	0.0	0	False
C46H83O9P	849.54117775181	0.0	0	False
C38H70NO11P	786.4323555769	2.734774948615202e-18	1	False
C34H63O10P	701.37959172661	0.0	0	False
C43H81NO10	810.54975431307	6.869779607553903e-07	4	True
C40H80NO6P	740.5360327986	8.719281738333873e-07	3	True
C44H77O8P	803.49931293799	0.0	0	False
C33H61O11P	703.3588562822699	0.0	0	False
C40H73O9P	767.46292742911	0.0	0	False
C44H85NO3	714.61665210075	0.0	0	False
C48H83O9P	873.54117775181	0.0	0	False
C46H91NO3	744.66360229437	0.0	0	False
C45H89O9P	843.58812794543	0.0	0	False
C38H73N2O7P	739.47924619711	9.656251240471935e-07	3	True
C50H101NO4	818.73676723727	0.0	0	False
C46H81O9P	847.52552768727	0.0	0	False
C50H101NO3	802.74185261707	0.0	0	False
C42H73O8P	775.46801280891	0.0	0	False
C42H85O7P	771.56699857595	0.0	0	False
C32H55O12P	701.30682070885	0.0	0	False
C43H81O7P	779.53569844687	0.0	0	False
C48H84NO7P	856.5622475478799	0.0	0	False
C37H65O10P	739.39524179115	0.0	0	False
C52H101NO4	842.73676723727	0.0	0	False
C39H77N2O7P	755.51054632619	0.0	0	False
C37H75N2O7P	729.49489626165	0.0	0	False
C46H93O9P	859.61942807451	0.0	0	False
C48H88NO8P	876.58846229716	2.0699928307949405e-06	11	True
C41H71O8P	761.45236274437	0.00013153569208156746	622	True
C41H81O9P	787.52552768727	0.0	0	False
C48H87O9P	877.57247788089	0.0	0	False
C38H75N2O7P	741.49489626165	0.0	0	False
C43H85O12P	863.5415716769501	0.0	0	False
C45H74NO7P	810.48399722518	0.0	0	False
C39H72NO10P	784.45309102124	0.0	0	False
C43H78NO8P	806.5102119744599	9.854729259902188e-05	403	True
C40H79O7P	741.5200483823301	4.2804526275607605e-05	23	True
C43H70NO8P	798.4476117163	0.0	0	False
C45H89O8P	827.59321332523	4.2301671794696705e-07	1	True
C39H75O12P	805.46332135425	0.0	0	False
C45H86NO10P	870.56264147302	0.0	0	False
C34H62NO12P	746.36466993894	0.0	0	False
C34H62NO11P	730.36975531874	0.0	0	False
C42H80NO10P	828.5156912794	0.0	0	False
C38H63O8P	717.38976248621	0.0	0	False
C38H73O12P	791.44767128971	0.0	0	False
C36H65O14P	791.37490027195	0.0	0	False
C47H88NO8P	864.58846229716	0.0	0	False
C49H95NO10	896.65930476485	0.0	0	False
C48H75O10P	881.47349211385	0.0	0	False
C46H93NO3	746.6792523589099	0.0	0	False
C46H93NO4	762.6741669791099	0.0	0	False
C47H76NO8P	852.49456190992	0.0	0	False
C43H72NO7P	784.46834716064	0.0	0	False
C47H89NO8	834.6225253308301	0.0	0	False
C45H73O10P	843.45784204931	7.278921776130288e-07	3	True
C35H69O9P	703.43162730003	-5.743049559193145e-19	0	False
C42H81O13P	863.5051861680699	0.0	0	False
C45H77O8P	815.49931293799	0.0	0	False
C40H68NO10P	792.4217908921601	0.0	0	False
C44H88NO11P	876.57320615776	0.0	0	False
C37H73O12P	779.44767128971	0.0	0	False
C43H82NO10P	842.5313413439401	0.0	0	False
C40H70NO10P	794.4374409567	0.0	0	False
C35H66NO9P	714.41122620742	0.0	0	False
C44H87NO5	748.62213140569	0.0	0	False
C43H72NO6P	768.47343254044	0.0	0	False
C36H69N2O7P	711.44794606803	2.43110884166396e-07	1	True
C42H84NO12P	864.5368206488799	0.0	0	False
C34H65O17P	815.3596441325501	0.0	0	False
C42H85N2O7P	799.5731465843501	2.1668295860482624e-06	2	True
C45H76NO8P	828.49456190992	0.0	0	False
C48H90NO7P	862.6091977415	0.0	0	False
C44H84NO10P	856.54699140848	5.2711403107297184e-18	1	False
C43H75O12P	853.46332135425	0.0	0	False
C45H90NO8P	842.6041123617	0.0	0	False
C49H88NO8P	888.58846229716	0.0	0	False
C39H75O10P	773.47349211385	0.0	0	False
C46H75O10P	857.47349211385	0.0	0	False
C47H94NO9P	886.63032711098	0.0	0	False
C41H69O10P	791.42654192023	0.0	0	False
C44H87O8P	813.57756326069	0.0	0	False
C40H74NO10P	798.46874108578	0.0	0	False
C41H75NO8	748.51297487905	0.0	0	False
C53H105NO4	858.76806736635	0.0	0	False
C41H65O8P	755.40541255075	0.0	0	False
C43H79NO9	792.53918962833	0.0	0	False
C43H73O7P	771.47309818871	0.0	0	False
C56H109NO4	898.79936749543	0.0	0	False
C44H91N2O6P	813.62518215777	0.0	0	False
C36H73O9P	719.46292742911	0.0	0	False
C46H80NO6P	812.5360327986	0.0	0	False
C38H74NO7P	726.48399722518	0.0	0	False
C44H80NO11P	868.5106058996	0.0	0	False
C43H83N2O6P	793.56258189961	3.995191170622119e-07	2	True
C29H53O15P	711.27591450491	6.705148167685941e-07	5	True
C45H90NO7P	826.6091977415	1.1303875372243521e-06	1	True
C46H74NO8P	838.47891184538	0.0	0	False
C48H95NO10	884.65930476485	0.0	0	False
C35H67O13P	765.39563571629	0.0	0	False
C45H77O13P	895.47388603899	0.0	0	False
C44H83O8P	809.54626313161	0.0	0	False
C40H70NO9P	778.4425263365	0.0	0	False
C36H72NO9P	732.45817640104	0.0	0	False
C38H73O7P	711.47309818871	0.0	0	False
C35H69O10P	719.42654192023	0.0	0	False
C38H75O7P	713.4887482532499	0.0	0	False
C39H75O7P	725.4887482532499	0.0	0	False
C38H64NO10P	764.39049076308	0.0	0	False
C40H80NO7P	756.5309474188	0.0	0	False
C37H75N2O6P	713.49998164145	0.0	0	False
C43H75O13P	869.45823597445	0.0	0	False
C43H83NO8	780.57557513721	0.0	0	False
C41H84NO7P	772.5622475478799	0.0	0	False
C45H82NO7P	818.5465974833401	0.0	0	False
C34H60NO11P	728.3541052542	0.0	0	False
C44H89N2O6P	811.60953209323	-8.738784390678503e-19	0	False
C43H70NO7P	782.4526970961	0.0	0	False
C48H72NO10P	892.45309102124	2.506528075380744e-07	1	True
C33H57NO14	730.3416120193899	0.0	0	False
C44H76NO8P	816.49456190992	0.0	0	False
C35H70NO8P	702.4476117163	0.0	0	False
C34H60NO10P	712.359190634	0.0	0	False
C47H88NO10P	896.5782915375601	0.0	0	False
C36H63O10P	725.37959172661	0.0	0	False
C46H86NO9P	866.56772685282	0.0	0	False
C49H98NO8P	898.6667126198599	0.0	0	False
C52H103NO5	860.74733192201	0.0	0	False
C43H72NO10P	832.45309102124	0.0	0	False
C50H99NO3	800.72620255253	0.0	0	False
C47H93N2O6P	851.64083222231	0.004975436120451383	7087	True
C47H92NO9P	884.61467704644	0.0	0	False
C49H101N2O6P	883.7034324804699	0.0	0	False
C42H71O8P	773.45236274437	0.0	0	False
C48H97N2O6P	867.67213235139	0.0	0	False
C34H63O12P	733.36942096701	0.0	0	False
C48H84NO8P	872.55716216808	2.303280166789198e-06	9	True
C46H89NO4	758.64286685003	0.0	0	False
C47H86NO10P	894.56264147302	0.0	0	False
C48H95NO5	804.68473166385	0.0	0	False
C47H77O8P	839.49931293799	0.0	0	False
C42H73O10P	807.45784204931	0.0	0	False
C50H99NO4	816.72111717273	0.0	0	False
C45H83O8P	821.54626313161	2.450543540549943e-06	4	True
C42H80NO7P	780.5309474188	0.0	0	False
C40H72NO10P	796.45309102124	0.0	0	False
C48H78NO10P	898.50004121486	0.0	0	False
C43H76NO9P	820.48947653012	0.0	0	False
C37H67O16P	837.38037957689	0.0	0	False
C44H80NO9P	836.5207766592	0.0	0	False
C44H80NO10P	852.5156912794	0.0	0	False
C47H88NO7P	848.59354767696	5.767399934109382e-07	1	True
C45H83O12P	885.52592161241	0.0	0	False
C50H101NO5	834.73168185747	0.0	0	False
C43H78NO10P	838.50004121486	0.0	0	False
C41H75O13P	845.45823597445	1.231275566807564e-07	1	True
C38H76NO8P	744.49456190992	3.6643498512659994e-07	2	True
C37H71O13P	793.42693584537	-7.528510818702491e-19	0	False
C37H74NO8P	730.47891184538	0.0	0	False
C39H77N2O6P	739.51563170599	0.0	0	False
C36H66NO8P	710.41631158722	0.0	0	False
C37H77N2O6P	715.51563170599	0.0	0	False
C40H81N2O7P	771.5418464552699	0.0	0	False
C41H70NO8P	774.4476117163	0.0	0	False
C43H81O10P	827.52044230747	0.0	0	False
C41H79N2O6P	765.53128177053	0.0	0	False
C44H88NO7P	812.59354767696	0.0	0	False
C47H89O8P	851.59321332523	0.0	0	False
C37H67O13P	789.39563571629	0.0	0	False
C49H86NO8P	886.57281223262	0.0	0	False
C47H93NO4	774.6741669791099	0.0	0	False
C44H85O10P	843.5517424365501	0.0	0	False
C48H82NO6P	838.5516828631401	0.0	0	False
C39H76NO8P	756.49456190992	0.0	0	False
C39H67O13P	813.39563571629	0.0	0	False
C32H54NO13P	730.2969843009801	1.9646124780245784e-07	1	True
C45H91N2O6P	825.62518215777	0.00016756047064243258	550	True
C36H71O10P	733.44219198477	0.0	0	False
C44H89O9P	831.58812794543	1.3143860949708624e-07	1	True
C45H77O10P	847.48914217839	0.0	0	False
C47H95NO4	776.68981704365	0.0	0	False
C47H95NO5	792.68473166385	0.0	0	False
C46H94NO7P	842.64049787058	0.0	0	False
C39H74NO9P	770.47382646558	0.0	0	False
C44H78NO7P	802.5152973542599	0.0	0	False
C45H70NO8P	822.4476117163	0.0	0	False
C45H83NO9	820.57048975741	0.0	0	False
C47H80NO10P	888.5156912794	0.0	0	False
C49H99NO3	788.72620255253	0.0	0	False
C46H92NO9P	872.61467704644	0.0	0	False
C36H70NO10P	746.4374409567	0.0	0	False
C43H77O13P	871.47388603899	0.0	0	False
C46H80NO7P	828.5309474188	0.0	0	False
C40H79O8P	757.5149630025301	0.0	0	False
C44H87NO3	716.63230216529	0.0	0	False
C44H74NO8P	814.47891184538	0.0	0	False
C36H67O10P	729.41089185569	0.0	0	False
C48H94NO7P	866.64049787058	0.0	0	False
C42H82NO9P	814.5364267237401	0.0	0	False
C41H83N2O6P	769.56258189961	0.002575058396013386	5231	True
C38H69O10P	755.42654192023	0.0	0	False
C37H63O8P	705.38976248621	0.0	0	False
C36H62NO13P	786.35958455914	0.0	0	False
C44H77O9P	819.49422755819	0.0	0	False
C36H66NO10P	742.40614082762	0.0	0	False
C46H89O8P	839.59321332523	0.00030350447938633115	847	True
C45H87NO4	744.62721678549	0.0	0	False
C44H89NO3	718.64795222983	0.0	0	False
C38H73O9P	743.46292742911	0.0	0	False
C31H55O15P	737.29156456945	0.0	0	False
C38H66NO10P	766.40614082762	0.0	0	False
C38H72NO9P	756.45817640104	0.0	0	False
C51H101NO4	830.73676723727	0.0	0	False
C38H74NO8P	742.47891184538	0.0	0	False
C43H74NO7P	786.48399722518	0.0	0	False
C37H70NO8P	726.4476117163	0.0	0	False
C44H83NO9	808.57048975741	4.251022742698409e-07	3	True
C43H85O7P	783.56699857595	6.467662480898052e-06	31	True
