X	Y	PC(38:1)	PA(44:0)	PC(38:0)
0	0	9850.659948645945	2152.1696606158184	1276.1568138163882
0	1	11276.013788862207	2705.4011043108635	868.6858462425945
0	2	12083.512544850388	1776.762477703451	1327.1677502746168
0	3	10068.476227934712	1463.4306851657495	826.2954384764831
0	4	13508.219524192284	1821.1327862255423	813.623409326874
0	5	6866.657109601269	1662.48444540545	1288.114546207325
0	6	10898.280595670378	2596.324988157391	620.4061657272641
0	7	17245.98836537122	2022.0580868046195	967.0687874367517
0	8	13124.560199414884	2790.984650272119	949.6878394534732
0	9	10727.553146235658	1958.8292937556644	1214.5168706992313
0	10	10424.79657178897	1608.9695303386704	1194.0160212146757
0	11	12956.603118364314	2138.4706517844834	415.2757632212443
0	12	11536.129782324346	2068.4150565019945	1051.3906560447506
0	13	9814.169390594223	2215.612255498302	1657.2524274054747
0	14	9239.010853939726	1729.2344115242863	973.9294469519444
0	15	7655.881126520316	2461.9118925369316	791.8118219982629
0	16	9799.863953753196	1608.8944716999795	943.7343996817442
0	17	8169.915887148635	2121.3076187836605	935.9308226054777
0	18	9184.478553043482	1608.6018384301542	890.0433978371207
0	19	9537.790625963664	2073.2282255656237	1024.6526202040195
0	20	935.5605006098657	4452.413426342016	770.3397152302889
0	21	-0.0	4973.2620166844235	1063.6432274238482
0	22	1119.3094399314857	3411.937328169964	709.2053065257568
0	23	1255.0675979151163	4166.319571307606	688.9278220366497
0	24	1140.5019952464172	3456.6673579697294	1049.7862626838403
0	25	739.6382272901369	4407.672987070906	936.3486080554815
0	26	1338.0133056940815	4911.173511764786	1032.5909493332297
0	27	944.9432935458568	4684.240472118946	808.1504750847419
0	28	1178.938837733087	4575.222172730771	1217.5683290897236
0	29	1445.2151892008978	3827.45956170506	1010.7055301143903
0	30	901.5315879844582	5107.040329897567	536.0228118292131
0	31	836.6638212600005	5665.737714401852	1297.1883346824582
0	32	1073.8848659572263	3288.766094987088	681.2254189293152
0	33	860.0539315809849	5221.558458835084	809.0238447009167
0	34	887.0252087043473	3696.2811504691895	1146.0271953357303
0	35	1120.146631523606	5064.619237288791	302.9652954096368
0	36	805.155059367824	3285.0788173520273	814.4807608002188
0	37	1776.713498338798	4076.9305153820055	933.6762083319726
0	38	1403.6836272165167	4542.222133653283	853.3695548201849
0	39	1025.1072074081756	5571.355969505383	988.2695784342349
1	0	12146.664170528704	2041.182932510378	1015.4452386522323
1	1	8898.733030620677	1410.9262683973363	1138.3737777674096
1	2	9239.056618711173	2268.770605863973	1165.0828201289582
1	3	10398.201740018716	1997.2827182009305	1320.4008013203409
1	4	13731.972882530306	2927.4858341368918	1034.73727997324
1	5	9422.852904652407	1577.003605078607	1148.927144817274
1	6	8771.266105585755	2069.5665851826166	1015.2542483748014
1	7	10191.4996393494	1883.8943783785608	1006.5872704134425
1	8	9181.230063417279	1490.7379821474938	1326.5670033575423
1	9	7907.870014134207	2352.7521895834	-0.0
1	10	11851.403618930399	1520.5656485405923	937.6579887913122
1	11	10377.62797151734	2218.7787063169662	1361.7531692146397
1	12	9802.402870811773	1958.674853238062	512.4606333290225
1	13	12408.6771462213	2733.7228967646015	789.714739557771
1	14	8530.610287338332	2511.0758801361812	818.9431073716604
1	15	9842.163559580395	1845.9078088568037	1045.01162938682
