"","x","y","PC(38:1)","PA(44:0)","PC(38:0)"
"244",3,6,2,1,1
"245",4,6,2,1,1
"246",5,6,2,2,2
"247",6,6,2,2,2
"248",7,6,2,2,1
"249",8,6,2,2,2
"250",9,6,2,2,2
"251",10,6,2,2,2
"252",11,6,2,2,2
"253",12,6,2,2,1
"254",13,6,2,2,1
"255",14,6,2,2,2
"256",15,6,2,2,2
"257",16,6,2,2,2
"258",17,6,2,1,1
"259",18,6,2,2,2
"260",19,6,2,2,2
"261",20,6,2,2,2
"262",21,6,2,2,2
"263",22,6,2,2,1
"264",23,6,2,1,1
"265",24,6,2,2,2
"266",25,6,2,1,1
"267",26,6,2,2,2
"268",27,6,2,1,1
"269",28,6,2,2,2
"270",29,6,2,2,2
"271",30,6,2,1,1
"272",31,6,2,1,1
"273",32,6,2,2,1
"274",33,6,2,2,2
"275",34,6,2,2,2
"276",35,6,2,1,1
"277",36,6,2,2,2
"278",37,6,2,1,1
"279",38,6,2,1,1
"280",39,6,2,2,2
"281",0,7,2,2,2
"282",1,7,2,2,1
"283",2,7,2,2,1
"284",3,7,2,2,1
"285",4,7,2,1,1
"286",5,7,2,1,1
"287",6,7,2,2,2
"288",7,7,2,1,1
"289",8,7,2,1,1
"290",9,7,2,2,2
"291",10,7,2,2,2
"292",11,7,2,2,2
"293",12,7,2,2,2
"294",13,7,2,2,2
"295",14,7,2,2,2
"296",15,7,2,2,2
"297",16,7,2,2,2
"298",17,7,2,2,2
"299",18,7,2,2,2
"300",19,7,2,2,2
"301",20,7,2,2,2
"302",21,7,2,2,2
"303",22,7,2,1,1
"304",23,7,2,2,2
"305",24,7,2,1,1
"306",25,7,2,1,1
"307",26,7,2,2,2
"308",27,7,2,2,1
"309",28,7,2,2,2
"310",29,7,2,2,1
"311",30,7,2,1,1
"312",31,7,2,2,2
"313",32,7,2,2,1
"314",33,7,2,2,1
"315",34,7,2,1,1
"316",35,7,2,2,1
"317",36,7,2,2,1
"318",37,7,2,1,1
"319",38,7,2,2,1
"320",39,7,2,1,1
