X	Y	PC_38_0	PC_38_1	PC_38_2	PC_38_3	PS_38_3	PS_38_4	PS_38_5	PS_38_6
0	0	0.1200051163215632	0.5258281032866283	2.9561378671536043e-08	-2.3006752323914576e-07	-3.036431693817887e-08	2.359857320148321e-07	-0.0	-0.0	
0	1	0.0974871295407588	0.5127278736566528	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	2	0.11911504233936479	0.5418769196679842	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	3	0.11986617287932175	0.5109840470707837	-3.2080930656473476e-08	-0.0	3.290579906390878e-08	-0.0	-0.0	-0.0	
0	4	0.12678141896129072	0.5219159083582886	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	5	0.12975624999999996	0.5182589999999999	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	6	0.09476673040812743	0.5311880383334388	-6.489216689733595e-09	-0.0	2.9288384255895824e-08	-1.9757247347272484e-07	9.266453587485435e-07	-0.0	
0	7	0.10216723	0.53213476	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	8	0.11872616118107458	0.5292903539014012	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	9	0.10924111733733112	0.5266901278309533	2.9657039545589867e-08	-0.0	-1.41112123432483e-07	9.707065806857384e-07	-4.753981841967069e-06	2.2321195246501372e-05	
0	10	0.1186791731739809	0.5446776174907925	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	11	0.1265515034833396	0.5467035855691492	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	12	0.14371604226238682	0.5138795508101284	-3.2334177106153414e-07	6.562302413600545e-07	2.467814763962108e-07	-0.0	-0.0	-0.0	
0	13	0.13057618054820366	0.5277551097011273	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	14	0.12007118623623067	0.5534914341974869	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	15	0.12237141068663032	0.5475428762825669	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	16	0.12820215583356062	0.5223111477547359	8.701935319632294e-08	-0.0	-1.0522761187406901e-07	-3.4316740925304964e-08	8.12523389390289e-06	-0.0	
0	17	0.12906001	0.53119868	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	18	0.09748028272088309	0.5261092230349652	-0.0	-0.0	-9.822724996424587e-08	-0.0	7.091631749112218e-06	1.0988945013344168e-05	
0	19	0.06786916586112623	0.5357432431225548	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	20	0.12870667979476502	0.5400567982169721	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	21	0.1415631910446852	0.5204663113347472	5.5614515924473715e-08	-0.0	-1.3989986304289317e-07	6.561737262389048e-07	-0.0	-0.0	
0	22	0.11000329729986606	0.5397680993719407	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	23	0.12484394824887271	0.5086062871452726	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
