m/z	intsy
700.3962630628	0.00018607952339858634
700.4533633658483	0.00027674235726934054
701.4564698854305	4.509808301228378e-05
701.80838604938	5.354023251384676e-07
701.8607314748234	5.858007842457584e-07
701.8955211676174	3.286099454694075e-07
701.9240781200011	3.985583505067987e-07
701.9756169570878	1.0945845594558035e-06
702.0468696828083	1.2732323790336219e-06
702.0864760584316	8.043404874920322e-07
702.1167697977842	9.915757602698566e-07
702.1782069226459	5.524274061958286e-07
702.2091192606753	3.961865837953326e-07
702.2651279129925	1.2778088708881658e-06
702.3751195287163	7.06841967342284e-06
702.4110362572856	5.4735429281937165e-06
702.466966540291	1.277762145106452e-06
702.5934486524478	1.000116854024531e-06
702.6202912470316	3.812378607210977e-07
702.6847692758356	3.517626708287542e-07
702.7526843139055	5.801764604767997e-07
702.8049649963382	3.274234743708496e-07
702.8778443674872	1.0623489412106962e-06
702.9006559037795	6.121684487182296e-07
702.9410965018935	2.599448227719553e-07
702.9702399438399	4.3521320923479646e-07
703.0206690828105	8.375032880536799e-07
703.0603792625344	4.047476673266873e-07
703.1135447459274	6.662890944572519e-07
703.1448174666333	7.275079135313917e-07
703.2126369747989	1.2154721452771976e-06
703.2489472833831	7.377105311112781e-07
703.2934944204287	3.713504488596205e-07
703.3251828599115	4.979409747423951e-07
703.393038506401	3.0369055698239495e-06
703.4933800062782	1.6303209334405722e-06
703.5695026292943	7.127489344793407e-07
703.5958230230401	3.493016120574593e-07
703.6255353773585	5.827393142616304e-07
703.6741318043458	3.9787235446568163e-07
703.7040096652975	1.4322363734383698e-07
703.746750969938	9.349841439160423e-07
703.7847041632683	2.8891869910015944e-07
703.8464798396009	7.212644633862591e-07
703.9368503643003	1.4131991714122363e-06
703.9868409165321	1.2867439204087355e-06
704.0125291958095	5.302623018961264e-07
704.0514566238635	1.7974207292442054e-07
704.0845029606735	4.679694154589091e-07
704.1337332754832	1.0338246204519197e-06
704.2129564369798	1.6196040380078517e-06
704.2767749606106	1.6594805954921945e-07
704.3527624015381	2.283198681291466e-06
704.3912131759083	0.00033663690605785995
704.4798357867284	4.4842220632745685e-07
704.5140805991318	4.041645941005521e-07
704.598539474598	5.939967819966432e-07
704.6630888352472	6.233924068916573e-07
704.7064360210012	8.177024316378533e-07
704.7300030868047	8.257556218766662e-07
704.8034564206877	4.0126828055102675e-07
704.8494402476929	7.248113603614239e-07
704.8879933423175	5.791172663887189e-07
704.9831174936398	1.1711129728727643e-06
705.0168328438012	5.289679406064097e-07
705.0524606459777	2.084185334958734e-07
705.088379604255	3.452652866637508e-07
705.1434440305238	6.052492885602248e-07
705.185258821155	3.020726362574105e-07
705.2663434640166	1.3651849345112545e-06
705.3246352394533	4.968905781272258e-07
705.352383833227	3.93292162009871e-06
705.3948668562867	2.8931026089023362e-05
705.4508880621526	9.329553786463581e-07
705.5008886432033	1.309281092219206e-06
705.5711622893509	7.648269963608081e-07
705.6321333728648	1.587753571008798e-07
705.6500348997059	1.2889037529002336e-07
705.6824240221484	4.01396487584675e-07
705.7125662598003	1.5407994515448594e-07
705.7515713832236	6.936101361679297e-07
705.7864257195631	6.981785575763244e-07
705.8228162682044	3.420199597137718e-07
705.8649107309668	3.0008363698393367e-07
705.8915138885302	4.507311577980759e-07
705.9381918174006	5.550553900438615e-07
706.0356918490171	1.4316334827154543e-06
706.1120280117	1.232956218594416e-06
706.1521408055985	1.6611847561779723e-06
706.185672047154	1.3301686529705682e-06
706.245339354136	7.370765524997151e-07
706.294639625923	5.864320539815263e-07
706.3620356186384	2.217551041857327e-06
706.4222021231151	1.9910313466088437e-07
706.4796879974945	7.706525856279234e-07
706.5386396273743	1.5347393502948415e-06
706.5791355046957	3.0122228913651496e-07
706.6787218663334	1.1020236577399372e-06
706.7499104799955	9.867910159268446e-07
706.805696225237	9.19482000572423e-07
706.836450534118	5.3696227813161525e-08
706.8677040675256	3.225388084948087e-07
706.9294649428731	1.0207249940914178e-06
706.971564552872	1.5946783290578078e-07
707.0001183400415	1.1425918599065603e-07
707.0649237510623	9.283145201736958e-07
707.0981979341249	2.793290881678277e-07
707.1253567427059	1.2058784881549484e-06
707.1748582877152	1.988867441749337e-06
707.241917312241	3.9394470131696756e-07
707.2869648886705	4.4004079694821764e-07
707.3700802979904	3.773486508998031e-06
707.4249983441447	7.885320499578513e-07
707.5003284677894	7.828094547193322e-07
